fn,label
audio_files_full/3d43af6faf2244c288154dc4ff6a734f_bde5b42274594d73872e9e2a6c346fe7.wav,obuwuka
audio_files_full/3d43af6faf2244c288154dc4ff6a734f_5ffad97c0c2946dcbbe151cca2d62dae.wav,obuwuka
audio_files_full/744b1a437234489fae9512694d2212ae_cb5ea69f9e9641418f5e2bdf9ffaa718.wav,obuwuka
audio_files_full/655ab13e2b784ceabf71f38c1e9d5976_f6ae1ab021b0458985e8aec8cbd474d6.wav,obuwuka
audio_files_full/655ab13e2b784ceabf71f38c1e9d5976_cc9971bb60cd4aae9439b84613b258f4.wav,obuwuka
audio_files_full/744b1a437234489fae9512694d2212ae_486befa842b84c3b93f9d87562b24b5a.wav,obuwuka
audio_files_full/2497942026ef4d7e97d47fc2738d7c27_216e9665c41a4b00a9c769f3d176f5bf.wav,obuwuka
audio_files_full/d45cd9903b3044d494866b3162651a76_5a09f1a8b4d445a5b1924b38428d885a.wav,obuwuka
audio_files_full/3d43af6faf2244c288154dc4ff6a734f_b30f1122fc274502beaf2d7577a03439.wav,obuwuka
audio_files_full/d45cd9903b3044d494866b3162651a76_68d623f4cb09459e8b71d81669aaab4d.wav,obuwuka
audio_files_full/3d43af6faf2244c288154dc4ff6a734f_6044b07a111148c29e2045c3e6c6d4ff.wav,obuwuka
audio_files_full/3d43af6faf2244c288154dc4ff6a734f_8286b671865f42f59d9d99111115fa61.wav,obuwuka
audio_files_full/744b1a437234489fae9512694d2212ae_2f7fd7362bc9461f9b61af115c0d2152.wav,obuwuka
audio_files_full/655ab13e2b784ceabf71f38c1e9d5976_b657dfdeeaa242aba862fefe59d1fbbb.wav,obuwuka
audio_files_full/d45cd9903b3044d494866b3162651a76_9287674cefcd45db8f425be01fd7735f.wav,obuwuka
audio_files_full/d45cd9903b3044d494866b3162651a76_d677b2c59ce64d93998d4a1a72702626.wav,obuwuka
audio_files_full/744b1a437234489fae9512694d2212ae_2c761f849e354fb483de82502d25f170.wav,obuwuka
audio_files_full/744b1a437234489fae9512694d2212ae_c6c60723182e4a13b9cf706d150b994c.wav,obuwuka
audio_files_full/d45cd9903b3044d494866b3162651a76_f823a554d1f34341ab5a210250eea6df.wav,obuwuka
audio_files_full/744b1a437234489fae9512694d2212ae_8aa34e6e9c644015a90a641e09babf97.wav,obuwuka
audio_files_full/d45cd9903b3044d494866b3162651a76_4b5edc365f6c4ea7ad49272ce8258b69.wav,ndwadde
audio_files_full/0a8fccdb95b749dca0404bf433872764_72551682806f4a2a9b5542142a9899fb.wav,ndwadde
audio_files_full/d45cd9903b3044d494866b3162651a76_0821e0e86ab541f283ede8212c368d1c.wav,ndwadde
audio_files_full/3d43af6faf2244c288154dc4ff6a734f_bf00d5fefcb34bcfaa7eea192ef50d41.wav,ndwadde
audio_files_full/744b1a437234489fae9512694d2212ae_58e732ea6c3f4e138431e1a7ae8504bd.wav,ndwadde
audio_files_full/744b1a437234489fae9512694d2212ae_8a0d2a1ea6734b0e8f80ee979061938e.wav,ndwadde
audio_files_full/d45cd9903b3044d494866b3162651a76_7ecdc9db0a27442299560ac1e9b9123e.wav,ndwadde
audio_files_full/d45cd9903b3044d494866b3162651a76_c0788db8080b498ab97bc255477f628d.wav,ndwadde
audio_files_full/0a8fccdb95b749dca0404bf433872764_994dd9988ab549ceb141c75d19c775c3.wav,ndwadde
audio_files_full/2497942026ef4d7e97d47fc2738d7c27_857499e0e8a9460d87a0fd658b7c9870.wav,ndwadde
audio_files_full/744b1a437234489fae9512694d2212ae_9fb8bf28ac1a457bac940cf6e575e95a.wav,ndwadde
audio_files_full/3d43af6faf2244c288154dc4ff6a734f_f19ffe964a0149b1814b9cf58247bdff.wav,ndwadde
audio_files_full/744b1a437234489fae9512694d2212ae_def6937da6eb4d04b39dff58f53bf782.wav,ndwadde
audio_files_full/3d43af6faf2244c288154dc4ff6a734f_228bea3045124c31b8b1d640b212bebd.wav,ndwadde
audio_files_full/3d43af6faf2244c288154dc4ff6a734f_3131626a6276407ca906346202955d33.wav,ndwadde
audio_files_full/744b1a437234489fae9512694d2212ae_17d9a9d39d424bc6853ae68a580088b1.wav,ndwadde
audio_files_full/3d43af6faf2244c288154dc4ff6a734f_a5eb6a8078f94288b57e8b0a45317900.wav,ndwadde
audio_files_full/d45cd9903b3044d494866b3162651a76_a8d046d0e8cb4f9fafcfc61fda32015b.wav,ndwadde
audio_files_full/744b1a437234489fae9512694d2212ae_c2971e44fe7e4edfa4a956c7882be20c.wav,ndwadde
audio_files_full/655ab13e2b784ceabf71f38c1e9d5976_1763e40a803f41069e141e177614ff93.wav,ndwadde
audio_files_full/2497942026ef4d7e97d47fc2738d7c27_75fe8a542c19493187a746aa57368e56.wav,ejjobyo
audio_files_full/771b5044334242fb9caff8a71fd7891e_df9ab71e581943f7ae20de5e6096a0e3.wav,ejjobyo
audio_files_full/2497942026ef4d7e97d47fc2738d7c27_ccb3044a53f0494fa3ebd5c07439fe9f.wav,ejjobyo
audio_files_full/2497942026ef4d7e97d47fc2738d7c27_4146d78ec5aa448dab5d69a298c6b67c.wav,ejjobyo
audio_files_full/2497942026ef4d7e97d47fc2738d7c27_19442f7548d449158be96ad3ba4f6c4b.wav,ejjobyo
audio_files_full/2497942026ef4d7e97d47fc2738d7c27_024d4e90dcae45b2936ba870f496da63.wav,ejjobyo
audio_files_full/771b5044334242fb9caff8a71fd7891e_3b1c96819a1f48148633dc42ff9d07b7.wav,ejjobyo
audio_files_full/771b5044334242fb9caff8a71fd7891e_ce476490666f486cb3a6fcb94934ddb5.wav,ejjobyo
audio_files_full/771b5044334242fb9caff8a71fd7891e_c4e0392c0e884448b2fa7dcfaa43b381.wav,ejjobyo
audio_files_full/771b5044334242fb9caff8a71fd7891e_ebfa3b9cf857477e9a893262095bebb2.wav,ejjobyo
audio_files_full/2497942026ef4d7e97d47fc2738d7c27_c165dfd7538a4c41940cb70ce527c0e7.wav,ejjobyo
audio_files_full/62a43378312341918722fbe81a34ffd7_37c368cc23f4446c8c94f197bb955ec7.wav,ejjobyo
audio_files_full/eb702740d41f4f389192ec5c6a3ae95f_688dd58f84cb4a9289c5cfaaa63b27e9.wav,ebyobulimi
audio_files_full/5aa4893526794a73a3ed0a7ebba2a7bf_d2952ea3338c4a9a8a009e64eca2cc11.wav,ebyobulimi
audio_files_full/5aa4893526794a73a3ed0a7ebba2a7bf_f0033d0ff7ce4d1c8fe502bb9c07ddf5.wav,ebyobulimi
audio_files_full/1b5a69c4b88b41eb9577a656e11bb7dd_32c75e91a5c94510adfb6717e5eec628.wav,ebyobulimi
audio_files_full/1b5a69c4b88b41eb9577a656e11bb7dd_9e8de58294ee4431bc8a2069c7fa3ad6.wav,ebyobulimi
audio_files_full/1b5a69c4b88b41eb9577a656e11bb7dd_a1a9cee9821c41babf8c2252f8fe6861.wav,ebyobulimi
audio_files_full/1b5a69c4b88b41eb9577a656e11bb7dd_24357bf078be4137bca4333e48b9aa5a.wav,ebyobulimi
