fn,label
audio_files_full_20201029/2497942026ef4d7e97d47fc2738d7c27_2ca7ce33b04d420b8422a6ef524d8e68.wav,obuwuka
audio_files_full_20201029/d027264654b94950aeb204f64d05d8d7_012ead2b813c4261a6366bf12083560c.wav,ejjobyo
audio_files_full_20201029/d027264654b94950aeb204f64d05d8d7_16c25d867773478c92af0342a239d0f6.wav,ejjobyo
audio_files_full_20201029/d027264654b94950aeb204f64d05d8d7_1d4f7d73a2e54395869f64ebf077a9d0.wav,ejjobyo
audio_files_full_20201029/6fbfcce2cf21419e97290f9e12934f65_9e8c116b8b1b4bef9600a68e3f64b8ca.wav,ejjobyo
audio_files_full_20201029/d027264654b94950aeb204f64d05d8d7_35550ede1a844c9b81363d9ce3281e76.wav,ejjobyo
audio_files_full_20201029/6fbfcce2cf21419e97290f9e12934f65_abb9c02b1eae4efa9ef0de163fd1f3d2.wav,ejjobyo
audio_files_full_20201029/6fbfcce2cf21419e97290f9e12934f65_7397da7978244a369a5c63edd6c9698b.wav,ejjobyo
audio_files_full_20201029/6fbfcce2cf21419e97290f9e12934f65_176c9b08d01e414d8978c07c3291c3f0.wav,ejjobyo
audio_files_full_20201029/d027264654b94950aeb204f64d05d8d7_0f5e29db6f8f4b759de217989b91a753.wav,ejjobyo
audio_files_full_20201029/d027264654b94950aeb204f64d05d8d7_fdb35a7c1d4840cfb9022049e574139b.wav,ejjobyo
audio_files_full_20201029/d027264654b94950aeb204f64d05d8d7_7c8297766ea24122b26486255f482469.wav,ejjobyo
audio_files_full_20201029/d027264654b94950aeb204f64d05d8d7_b4c6788c44444efe9ab2baf050501e83.wav,ejjobyo
audio_files_full_20201029/d027264654b94950aeb204f64d05d8d7_94bbf7fd04de48d4a6d932097d26feb5.wav,ejjobyo
audio_files_full_20201029/6fbfcce2cf21419e97290f9e12934f65_2640e8aa7ae94b609ab0863e79c6e4aa.wav,ejjobyo
audio_files_full_20201029/d027264654b94950aeb204f64d05d8d7_f9a602091a0e4e62ae48402472cd3ab6.wav,ejjobyo
audio_files_full_20201029/d027264654b94950aeb204f64d05d8d7_f0e74a3fc02c4c8d82f30f15363067d5.wav,ejjobyo
audio_files_full_20201029/d027264654b94950aeb204f64d05d8d7_f45541852aff48d38c61d531493426d4.wav,ebyobulimi
audio_files_full_20201029/6fbfcce2cf21419e97290f9e12934f65_1f686b3011c5438db576697b91def9d3.wav,ebyobulimi
audio_files_full_20201029/d027264654b94950aeb204f64d05d8d7_41fe91d23e8c4631b76529a471b5ade7.wav,ebyobulimi
